histy_x,tx
0.0005,0.008224308116964351
0.0015,0.016117706878879104
0.0025,0.02436622787548123
0.0035,0.03248561351401522
0.0045000000000000005,0.04066956683158328
0.0055,0.0489584426275817
0.006500000000000001,0.05715853786490828
0.0075,0.06521335582440821
0.0085,0.07358294121919921
0.009500000000000001,0.08172653973737098
0.010499999999999999,0.09033018296866048
0.0115,0.09882083276164036
0.0125,0.1072791987151032
0.013500000000000002,0.11529366187520684
0.014499999999999999,0.12388116318673782
0.0155,0.13268658041500878
0.0165,0.14087053373257682
0.0175,0.14871550673521602
0.018500000000000003,0.15770655604070993
0.0195,0.1655596000032284
0.0205,0.17364670180224534
0.0215,0.1824359771107578
0.0225,0.19054729178941252
0.0235,0.19844876151120652
0.0245,0.20718154010056417
0.025500000000000002,0.21538970629777
0.026500000000000003,0.22401756240869727
0.0275,0.2315477679760454
0.0285,0.23995770817023268
0.0295,0.2485613514015222
0.0305,0.2571811365525702
0.0315,0.26546194138868934
0.0325,0.2731777790332604
0.0335,0.28174913842503285
0.0345,0.28969096294622315
0.035500000000000004,0.29732609099200163
0.036500000000000005,0.30526791551319193
0.0375,0.3130402498769178
0.0385,0.32111120975617624
0.0395,0.32912567291627987
0.0405,0.3370029297584361
0.0415,0.34543708283226116
0.0425,0.3528300820816619
0.0435,0.36101403539922994
0.0445,0.3690769243186091
0.0455,0.3772689485960564
0.0465,0.38542061807410744
0.0475,0.394088828984431
0.0485,0.4021678598235687
0.0495,0.4104890194590841
0.0505,0.41835013438148183
0.051500000000000004,0.4266470811373595
0.052500000000000005,0.434532408939395
0.0535,0.4428777814545482
0.0545,0.4507953930961007
0.0555,0.45906005601246136
0.0565,0.46713908685159905
0.0575,0.4749517760147212
0.0585,0.4830146649341004
0.0595,0.491279327850461
0.0605,0.4992211523716513
0.0615,0.5075019572077705
0.0625,0.5155648461271497
0.0635,0.5236680898459252
0.0645,0.5320376752407162
0.0655,0.5400602093606991
0.0665,0.5478567566040627
0.0675,0.5557743682456153
0.0685,0.5639744634829419
0.0695,0.572222984479544
0.07050000000000001,0.5804634345162669
0.07150000000000001,0.588865303750575
0.07250000000000001,0.5968555540310408
0.0735,0.6049345848701786
0.0745,0.6129490480302823
0.0755,0.6215204074220547
0.0765,0.6296882188198643
0.0775,0.6379528817362249
0.0785,0.6455718678622449
0.0795,0.6533280603062123
0.0805,0.6617057166608825
0.0815,0.6700107343766395
0.0825,0.6779122040984336
0.0835,0.6860315897369675
0.0845,0.6936102210635913
0.0855,0.7018264582206764
0.08650000000000001,0.7096956441029534
0.0875,0.7178069587816082
0.0885,0.7257729961824363
0.0895,0.7335937563054378
0.0905,0.7413903035488014
0.0915,0.7499374500609362
0.0925,0.7577501392240583
0.0935,0.7655708993470598
0.0945,0.7734642981089745
0.0955,0.7810187165559604
0.0965,0.7885489221233086
0.0975,0.7966925206414804
0.0985,0.8047634805207389
0.0995,0.8126891631221707
0.1005,0.8209215421990143
0.1015,0.829000573038152
0.10250000000000001,0.8369585394791008
0.10350000000000001,0.8447308738428267
0.10450000000000001,0.8524870662867942
0.1055,0.8600899104930556
0.1065,0.8677573223783511
0.1075,0.8750857539487178
0.1085,0.8826401723957037
0.1095,0.8902349456420859
0.1105,0.8973131774561955
0.1115,0.9041896352733237
0.1125,0.9111145188497275
0.1135,0.917845699389029
0.1145,0.9244235316906246
0.1155,0.9303234033623625
0.1165,0.9361264235155493
0.11750000000000001,0.9419778694280116
0.11850000000000001,0.9474096254267526
0.1195,0.9526234655087535
0.1205,0.9571593449608968
0.1215,0.9616064438543682
0.1225,0.9658921235502544
0.1235,0.9697339004527815
0.1245,0.9729219296050886
0.1255,0.9762310231555845
0.1265,0.9790477881534457
0.1275,0.981461005157344
0.1285,0.9837047320037778
0.1295,0.9859403878903324
0.1305,0.9877321409835278
0.1315,0.9893705458390173
0.1325,0.9906134736604231
0.1335,0.9919048272411044
0.1345,0.992921768185891
0.1355,0.9937934318528509
0.1365,0.9944471796030708
0.1375,0.995044430634136
0.1385,0.995577113986167
0.1395,0.9959080233412166
0.1405,0.9961743650172322
0.14150000000000001,0.9964407066932478
0.14250000000000002,0.9965537001315574
0.14350000000000002,0.9967474031686596
0.14450000000000002,0.9968684675668485
0.1455,0.9969653190853996
0.1465,0.9970621706039507
0.1475,0.9971832350021397
0.1485,0.9972800865206908
0.1495,0.9973527251596042
0.1505,0.9974172928386382
0.1515,0.9975060733973101
0.1525,0.997594853955982
0.1535,0.9976513506751369
0.1545,0.9976997764344124
0.1555,0.9978046989128428
0.1565,0.9978289117924807
0.1575,0.9978934794715147
0.1585,0.9979257633110318
0.1595,0.9979903309900658
0.1605,0.9980548986690999
0.1615,0.9980871825086169
0.1625,0.9981356082678925
0.1635,0.998184034027168
0.1645,0.9982163178666851
