histy_x,tx
0.0005,0.005982286217434091
0.0015,0.013078158180970634
0.0025,0.01999274874397887
0.0035,0.026622468534728338
0.0045000000000000005,0.033148598953747346
0.0055,0.039933702802092505
0.006500000000000001,0.04630444916351582
0.0075,0.05280468223960222
0.0085,0.059279017972756
0.009500000000000001,0.06593463510643809
0.010499999999999999,0.07323768581343555
0.0115,0.08004868700471332
0.0125,0.08735173771171079
0.013500000000000002,0.09374838141606671
0.014499999999999999,0.1000673330916248
0.0155,0.10685243693996996
0.0165,0.1134303620448542
0.0175,0.1208111047806495
0.018500000000000003,0.12754441394312943
0.0195,0.13482156730719427
0.0205,0.14142538975501112
0.0215,0.14797741751696275
0.0225,0.15414098513492513
0.0235,0.16022686072408968
0.0245,0.16667529911431084
0.025500000000000002,0.17351219764852122
0.026500000000000003,0.1803490961827316
0.0275,0.1873931734604029
0.0285,0.19327187030610654
0.0295,0.19940954058113633
0.0305,0.20660900191640333
0.0315,0.2125653907909048
0.0325,0.21846998497954107
0.0335,0.22458175791163823
0.0345,0.2306935308437354
0.035500000000000004,0.2373750453203501
0.036500000000000005,0.24416014916869525
0.0375,0.2506862795877143
0.0385,0.2567203604910136
0.0395,0.26329828559589785
0.0405,0.2699280053866473
0.0415,0.2765318278344642
0.0425,0.28295436888175274
0.0435,0.28896255244211944
0.0445,0.2952556067747449
0.0455,0.30131558502097683
0.0465,0.30719428186668046
0.0475,0.31372041228569947
0.0485,0.3199098772465945
0.0495,0.3256331900347024
0.0505,0.33192624436732787
0.051500000000000004,0.3381157093282229
0.052500000000000005,0.3444087636608483
0.0535,0.3504687419070803
0.0545,0.3564251307815817
0.0555,0.361993059512094
0.0565,0.3674832962138084
0.0575,0.37341378774537726
0.0585,0.3786450510177655
0.0595,0.3840575956906821
0.0605,0.38947014036359867
0.0615,0.3948567876935826
0.0625,0.40089086859688194
0.0635,0.4065105920132594
0.0645,0.4123633915160304
0.0655,0.417775936188947
0.0665,0.42425027192210074
0.0675,0.4301807634536696
0.0685,0.4361371523281711
0.0695,0.4423525146319987
0.07050000000000001,0.4481017247630393
0.07150000000000001,0.45299632257730355
0.07250000000000001,0.4595742476821878
0.0735,0.46547884187082406
0.0745,0.4723675350908997
0.0755,0.47845341068006425
0.0765,0.4847723623556223
0.0775,0.4910136220023826
0.0785,0.4982130833376496
0.0795,0.5045320350132076
0.0805,0.5113171388615528
0.0815,0.5178173719376392
0.0825,0.5239032475268037
0.0835,0.5303775832599575
0.0845,0.5366447402496504
0.0855,0.5437924068990522
0.08650000000000001,0.5501372559175429
0.0875,0.5578287667685297
0.0885,0.5646138706168748
0.0895,0.5716579478945462
0.0905,0.5785207437716892
0.0915,0.5856425130781583
0.0925,0.5926088983270318
0.0935,0.599860154348164
0.0945,0.6065675661677112
0.0955,0.6127570311286062
0.0965,0.6197234163774797
0.0975,0.6266898016263532
0.0985,0.6328792665872482
0.0995,0.6393536023204021
0.1005,0.6462163981975451
0.1015,0.6526907339306989
0.10250000000000001,0.659009685606257
0.10350000000000001,0.6655099186823433
0.10450000000000001,0.6721655358160255
0.1055,0.6781996167193247
0.1065,0.6847257471383438
0.1075,0.69063034132698
0.1085,0.696949293002538
0.1095,0.7031387579634331
0.1105,0.7092764282384628
0.1115,0.7159838400580101
0.1125,0.721914331589579
0.1135,0.7277153364064848
0.1145,0.7333091624799296
0.1155,0.7390583726109702
0.1165,0.7444450199409541
0.11750000000000001,0.7501165380431969
0.11850000000000001,0.7551406225721242
0.1195,0.7600093230434558
0.1205,0.7655772517739681
0.1215,0.7717149220489978
0.1225,0.7772569534365774
0.1235,0.7826953954524266
0.1245,0.7880820427824106
0.1255,0.7939607396281142
0.1265,0.798958926814109
0.1275,0.8038276272854405
0.1285,0.8083855596415808
0.1295,0.8133319521417103
0.1305,0.8179416791837157
0.1315,0.8233024291707671
0.1325,0.8274977987258507
0.1335,0.832521883254778
0.1345,0.8373387890402445
0.1355,0.8422333868545088
0.1365,0.8468172165535817
0.1375,0.8511420728233284
0.1385,0.8556741078365361
0.1395,0.8601025534780132
0.1405,0.8648158698917492
0.14150000000000001,0.8688558553892372
0.14250000000000002,0.8725073807427359
0.14350000000000002,0.8765473662402239
0.14450000000000002,0.8809240171958358
0.1455,0.8847309266069302
0.1465,0.8886932200756203
0.1475,0.8927591029160409
0.1485,0.8966954990417983
0.1495,0.9003729217382297
0.1505,0.9034806028901435
0.1515,0.9066659760708552
0.1525,0.9097995545657016
0.1535,0.9135805666338634
0.1545,0.9171285026156317
0.1555,0.9198995183094215
0.1565,0.9229813021184027
0.1575,0.9262184699849796
0.1585,0.9289376909929041
0.1595,0.9319158854301549
0.1605,0.9340912622364946
0.1615,0.9364479204433626
0.1625,0.939037654736624
0.1635,0.9412907235717616
0.1645,0.9435696897498317
0.1655,0.9458227585849692
0.1665,0.947920443362511
0.1675,0.9499145387683224
0.1685,0.9518309421453359
0.1695,0.953980421608743
0.1705,0.9556119542134978
0.1715,0.957010410731859
